token,lemma,tag,idpicto,disable
past_picto,past_picto,\N,9839,\
future_picto,future_picto,\N,9829,\
combien,\N,\N,7073,\
à_quelle_heure,\N,\N,29175,\
\N,positif,\N,3220,\
\N,négatif,\N,3200,\
\N,plus,\N,19572,\
\N,maximal,\N,19572,\
\N,trop,\N,19572,\
\N,très,\N,19572,\
\N,moins,\N,19557,\
haricots_verts,\N,\N,2438,\
\N,tu,\N,2608,\
\N,vous,\N,2608,\
\N,je,\N,2617,\
me,\N,\N,2617,\
moi,\N,\N,2617,\
\N,plumeau,\N,2825,\
terrain_de_football,\N,\N,3073,\
@,\N,\N,3177,\
arobase,\N,\N,3177,\
langue_de_belle-mère,\N,\N,3204,\
\N,espalier,\N,3269,\
porte-parapluie,\N,\N,3285,\
\N,pétanque,\N,3287,\
!,\N,\N,3417,\
?,\N,\N,3418,\
château_de_sable,\N,\N,4790,\
\N,sceau,\N,4875,\
sceau_de_peinture,\N,\N,4875,\
festivités_du_pilier,\N,\N,5073,\
jour_du_pilier,\N,\N,5073,\
\N,noyer,\N,5366,\
se_noyer,\N,\N,5366,\
cabochard,\N,\N,5407,\
cabochard_berrugon,\N,\N,5407,\
cabochard,\N,\N,5409,\
cabocharde_forana,\N,\N,5409,\
cabochard,\N,\N,5410,\
cabochard_forano,\N,\N,5410,\
cabochard,\N,\N,5411,\
cabochard_morico,\N,\N,5411,\
cabochard,\N,\N,5412,\
cabochard_pilara,\N,\N,5412,\
cabochard,\N,\N,5413,\
cabochard_robaculeros,\N,\N,5413,\
cabochard,\N,\N,5414,\
torero,\N,\N,5414,\
cabochard,\N,\N,5415,\
grosses_têtes,\N,\N,5416,\
cabochard,\N,\N,5461,\
macédoine_de_légumes,\N,\N,5511,\
pas,\N,ADV,5526,\
fer_à_cheveux,\N,\N,5542,\
\N,être,\N,3423,\
à_tout_à_l'heure,\N,\N,5896,\
au_revoir,\N,\N,6028,\
ville_A,\N,\N,5963,\
\N,stade,\N,5993,\
stade_de_football,\N,\N,5993,\
terrain_de_football,\N,\N,5993,\
\N,baisser,\N,6033,\
se_baisser,\N,\N,6033,\
\N,noyer,\N,6037,
se_noyer,\N,\N,6037,\
maman_ours,\N,\N,6144,\
je_ne_veux_pas,\N,\N,6156,\
ne_pas_vouloir,\N,\N,6156,\
petit_ours,\N,\N,6162,\
papa_ours,\N,\N,6165,\
pinocchio,\N,\N,6177,\
boucles_d'or,\N,\N,6207,\
il,\N,\N,6480,
il,\N,\N,6481,\
se,\N,\N,6481,\
\N,allumer,\N,6486,\
\N,tu,\N,6625,
\N,vous,\N,6625,
toi,\N,\N,6625,\
\N,je,\N,6632,
me,\N,\N,6632,
moi,\N,\N,6632,
livres_de_jeuxVIR_sport_et_loisir,\N,\N,6641,\
cela,\N,\N,6906,\
celle-là,\N,\N,6906,\
celui-là,\N,\N,6906,\
celles-là,\N,\N,6907,\
ceux-là,\N,\N,6907,\
\N,chaussé,\N,6953,\
\N,charriot,\N,6962,\
caddie_de_supermarché,\N,\N,6962,\
elle,\N,\N,7028,
elle,\N,\N,7029,\
se,\N,\N,7029,\
elles,\N,\N,7030,
elles,\N,\N,7031,\
leur,\N,\N,7031,
se,\N,\N,7031,\
eux,\N,\N,7032,
ils,\N,\N,7032,
eux,\N,\N,7033,\
ils,\N,\N,7033,\
leur,\N,\N,7033,\
se,\N,\N,7033,\
dans,\N,\N,7034,\
à,\N,\N,7041,\
devant,\N,\N,7044,\
sous,\N,\N,7047,\
avec,\N,\N,7064,\
contre,\N,\N,7067,\
de,\N,\N,7074,
depuis,\N,\N,7077,\
cela,\N,\N,7091,
celle-là,\N,\N,7091,
celui-ci,\N,\N,7091,\
celles-là,\N,\N,7092,
ces,\N,\N,7092,\
ceci,\N,\N,7095,\
celle-ci,\N,\N,7095,\
celui-ci,\N,\N,7095,
celles-ci,\N,\N,7096,\
ceux-ci,\N,\N,7096,\
vers,\N,\N,7125,\
\N,nous,\N,7183,
\N,nous,\N,7184,
\N,nous,\N,7185,\
\N,nous,\N,7186,
pour,\N,\N,7194,\
vers,\N,\N,7194,\
aux_alentours_de,\N,\N,7212,\
environ,\N,\N,7212,\
par,\N,\N,7212,\
\N,couvrir,\N,7264,\
\N,tu,\N,7289,
\N,vous,\N,7289,
\N,tu,\N,7290,
\N,vous,\N,7290,
toi,\N,\N,7290,\
\N,vous,\N,7304,
\N,vous,\N,7305,
\N,vous,\N,7306,
\N,vous,\N,7307,
\N,je,\N,7309,
me,\N,\N,7309,
moi,\N,\N,7309,
\N,je,\N,7310,
me,\N,\N,7310,
moi,\N,\N,7310,
où,\N,\N,7764,\
où?,\N,\N,7764,\
entre,\N,\N,7765,\
jusqu'à,\N,\N,7771,\
arts_plastiques,\N,\N,7794,\
travaux_manuels,\N,\N,7794,\
selon,\N,\N,7810,\
sans,\N,\N,7813,\
sur,\N,\N,7814,\
après,\N,\N,7818,\
asturies,\N,\N,8034,\
batman,\N,\N,8039,\
